"","country","native","fishmeal","intensity","hatchery","habitat","GMO","waste"
"1","Albania",NA,NA,NA,NA,NA,NA,NA
"2","Algeria",NA,NA,NA,NA,NA,NA,NA
"3","Angola",NA,NA,NA,NA,NA,NA,NA
"4","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA
"5","Argentina",0.67,1,0.58,0.775,0.897435897435897,0.7,1
"6","Armenia",NA,NA,NA,NA,NA,NA,NA
"7","Aruba",NA,NA,NA,NA,NA,NA,NA
"8","Australia",0.33,0.32,0.32,0.5875,0.666666666666667,0.63,0.42
"9","Austria",NA,NA,NA,NA,NA,NA,NA
"10","Azerbaijan",NA,NA,NA,NA,NA,NA,NA
"11","Bahamas",NA,NA,NA,NA,NA,NA,NA
"12","Bahrain",NA,NA,NA,NA,NA,NA,NA
"13","Bangladesh",0.5,0.3,0.1,0.375,0.128205128205128,0.6,0.1
"14","Barbados",NA,NA,NA,NA,NA,NA,NA
"15","Belarus",NA,NA,NA,NA,NA,NA,NA
"16","Belgium",NA,NA,NA,NA,NA,NA,NA
"17","Belize",0.1,0.3,0.3,0.625,0.128205128205128,0.5,0.3
"18","Benin",NA,NA,NA,NA,NA,NA,NA
"19","Bermuda",NA,NA,NA,NA,NA,NA,NA
"20","Bhutan",NA,NA,NA,NA,NA,NA,NA
"21","Bolivia (Plurinat.State)",NA,NA,NA,NA,NA,NA,NA
"22","Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA,NA
"23","Botswana",NA,NA,NA,NA,NA,NA,NA
"24","Brazil",0.12,0.32,0.31,0.6375,0.153846153846154,0.59,0.13
"25","Brunei Darussalam",NA,NA,NA,NA,NA,NA,NA
"26","Bulgaria",NA,NA,NA,NA,NA,NA,NA
"27","Burkinaaso",NA,NA,NA,NA,NA,NA,NA
"28","Burundi",NA,NA,NA,NA,NA,NA,NA
"29","Céte d'Ivoire",NA,NA,NA,NA,NA,NA,NA
"30","Cabo Verde",NA,NA,NA,NA,NA,NA,NA
"31","Cambodia",0.5,0.3,0.1,0.375,0.128205128205128,0.7,0.1
"32","Cameroon",NA,NA,NA,NA,NA,NA,NA
"33","Canada",0.54,0.41,0.28,0.5125,0.602564102564103,0.6,0.37
"34","Cayman Islands",NA,NA,NA,NA,NA,NA,NA
"35","Central African Republic",NA,NA,NA,NA,NA,NA,NA
"36","Chad",NA,NA,NA,NA,NA,NA,NA
"37","Chile",0.31,0.32,0.32,0.4375,0.41025641025641,0.52,0.39
"38","China",0.26,0.99,0.69,0.6125,0.666666666666667,0.71,0.19
"39","China, Hong Kong SAR",NA,NA,NA,NA,NA,NA,NA
"40","China, Macao SAR",NA,NA,NA,NA,NA,NA,NA
"41","Colombia",1,0.3,0.3,0.625,0.384615384615385,0.5,0.3
"42","Comoros",NA,NA,NA,NA,NA,NA,NA
"43","Congo",NA,NA,NA,NA,NA,NA,NA
"44","Congo, Dem. Rep. of the",NA,NA,NA,NA,NA,NA,NA
"45","Cook Islands",NA,NA,NA,NA,NA,NA,NA
"46","Costa Rica",1,0.3,0.1,0.625,0.384615384615385,0.5,0.5
"47","Croatia",NA,NA,NA,NA,NA,NA,NA
"48","Cuba",NA,NA,NA,NA,NA,NA,NA
"49","Curaçao",NA,NA,NA,NA,NA,NA,NA
"50","Cyprus",NA,NA,NA,NA,NA,NA,NA
"51","Czech Republic",NA,NA,NA,NA,NA,NA,NA
"52","Czechoslovakia",NA,NA,NA,NA,NA,NA,NA
"53","Denmark",1,0.33,0.32,0.4,0.769230769230769,0.71,0.71
"54","Djibouti",NA,NA,NA,NA,NA,NA,NA
"55","Dominica",NA,NA,NA,NA,NA,NA,NA
"56","Dominican Republic",NA,NA,NA,NA,NA,NA,NA
"57","Ecuador",0.99,0.3,0.5,0.625,0.128205128205128,0.5,0.3
"58","Egypt",0.96,0.29,0.48,0.625,0.628205128205128,0.67,0.48
"59","El Salvador",NA,NA,NA,NA,NA,NA,NA
"60","Equatorial Guinea",NA,NA,NA,NA,NA,NA,NA
"61","Eritrea",NA,NA,NA,NA,NA,NA,NA
"62","Estonia",NA,NA,NA,NA,NA,NA,NA
"63","Ethiopia",NA,NA,NA,NA,NA,NA,NA
"64","Ethiopia PDR",NA,NA,NA,NA,NA,NA,NA
"65","Falkland Is.(Malvinas)",NA,NA,NA,NA,NA,NA,NA
"66","Faroe Islands",NA,NA,NA,NA,NA,NA,NA
"67","Fiji, Republic of",NA,NA,NA,NA,NA,NA,NA
"68","Finland",1,0.3,0.2,0.625,0.384615384615385,0.6,0.7
"69","France",0.38,0.98,0.96,0.7375,0.717948717948718,0.78,0.36
"70","French Guiana",NA,NA,NA,NA,NA,NA,NA
"71","French Polynesia",NA,NA,NA,NA,NA,NA,NA
"72","Gabon",NA,NA,NA,NA,NA,NA,NA
"73","Gambia",NA,NA,NA,NA,NA,NA,NA
"74","Georgia",NA,NA,NA,NA,NA,NA,NA
"75","Germany",1,1,0.9,1,0.897435897435897,1,1
"76","Ghana",NA,NA,NA,NA,NA,NA,NA
"77","Greece",1,0.19,0.27,0.4875,0.5,0.42,0.1
"78","Greenland",NA,NA,NA,NA,NA,NA,NA
"79","Grenada",NA,NA,NA,NA,NA,NA,NA
"80","Guadeloupe",NA,NA,NA,NA,NA,NA,NA
"81","Guam",NA,NA,NA,NA,NA,NA,NA
"82","Guatemala",0.5,0.1,0.3,0.625,0.641025641025641,0.5,0.5
"83","Guinea",NA,NA,NA,NA,NA,NA,NA
"84","GuineaBissau",NA,NA,NA,NA,NA,NA,NA
"85","Guyana",NA,NA,NA,NA,NA,NA,NA
"86","Haiti",NA,NA,NA,NA,NA,NA,NA
"87","Honduras",0.5,0.1,0.5,0.375,0.128205128205128,0.5,0.1
"88","Hungary",NA,NA,NA,NA,NA,NA,NA
"89","Iceland",0.34,0.46,0.5,1,0.769230769230769,0.74,0.5
"90","India",1,0.1,0.1,0.375,0.128205128205128,0.7,0.1
"91","Indonesia",1,0.48,0.66,0.375,0.307692307692308,0.75,0.24
"92","Iran (Islamic Rep. of)",NA,NA,NA,NA,NA,NA,NA
"93","Iraq",NA,NA,NA,NA,NA,NA,NA
"94","Ireland",0.91,0.73,0.64,0.8125,0.858974358974359,0.85,0.81
"95","Israel",NA,NA,NA,NA,NA,NA,NA
"96","Italy",1,0.37,0.54,0.6625,0.615384615384615,0.52,0.48
"97","Jamaica",NA,NA,NA,NA,NA,NA,NA
"98","Japan",1,0.98,0.69,0.5375,0.794871794871795,0.69,0.8
"99","Jordan",NA,NA,NA,NA,NA,NA,NA
"100","Kazakhstan",NA,NA,NA,NA,NA,NA,NA
"101","Kenya",NA,NA,NA,NA,NA,NA,NA
"102","Kiribati",1,0.7,0.5,0.125,0.384615384615385,0.8,0.3
"103","Korea, Dem. People's Rep",NA,NA,NA,NA,NA,NA,NA
"104","Korea, Republic of",NA,NA,NA,NA,NA,NA,NA
"105","Kuwait",NA,NA,NA,NA,NA,NA,NA
"106","Kyrgyzstan",NA,NA,NA,NA,NA,NA,NA
"107","Lao People's Dem. Rep.",NA,NA,NA,NA,NA,NA,NA
"108","Latvia",NA,NA,NA,NA,NA,NA,NA
"109","Lebanon",NA,NA,NA,NA,NA,NA,NA
"110","Lesotho",NA,NA,NA,NA,NA,NA,NA
"111","Liberia",NA,NA,NA,NA,NA,NA,NA
"112","Libya",NA,NA,NA,NA,NA,NA,NA
"113","Lithuania",NA,NA,NA,NA,NA,NA,NA
"114","Luxembourg",NA,NA,NA,NA,NA,NA,NA
"115","Macedonia,mr Yug Rp of",NA,NA,NA,NA,NA,NA,NA
