"","country","species","area","year","value","value.kg","relative.value","production","native","fishmeal","intensity","hatchery","habitat","waste","ecol.score","msi"
"328","Ireland","Atlantic salmon","Atlantic, Northeast",2000,9868.56,44.6541176470588,0.00757167323715777,221,10,3,3,5,5,5,5.2,5.4
"375","Japan","Flathead grey mullet","Pacific, Northwest",2000,1680.21,840.105,0.179868198780903,2,10,3,5,5,5,5,5.5,5.8
"495","Mexico","Abalones nei","Pacific, Eastern Central",2000,135.28,3.86514285714286,0.000377975178475085,35,5,10,1,7,5,3,5.2,4.6
"517","Mexico","Yellowfin tuna","Pacific, Eastern Central",2000,6,0.000689813750287422,1.67641267803852e-05,8698,10,1,1,1,3,1,2.8,4.1
"530","Morocco","Penaeus shrimps nei","Mediterranean and Black Sea",2000,0,0,0,13,5,3,3,5,4,5,4.2,4.9
"553","Netherlands","European flat oyster","Atlantic, Northeast",2000,120400.01,60200.005,0.877899757709895,2,10,10,7,5,7,10,8.2,7.3
"564","Nigeria","Snappers nei","Atlantic, Eastern Central",2000,345650.3,6913.006,1,50,5,7,3,3,4,3,4.2,4.9
"566","Norway","Atlantic cod","Atlantic, Northeast",2000,0,0,0,1300,10,1,3,3,3,1,3.5,4.6
"569","Norway","Blue mussel","Atlantic, Northeast",2000,8,5.84650013885438e-05,5.43220227571114e-06,136834,10,10,9,8,7,10,9,8.1
"571","Norway","European flat oyster","Atlantic, Northeast",2000,110874.2,110874.2,0.0752863851947065,1,10,10,7,5,7,10,8.2,7.3
"602","Peru","Pacific cupped oyster","Pacific, Southeast",2000,1493.22,5.02767676767677,0.256329179112164,297,1,10,10,5,7,10,7.2,6.5
"604","Peru","Whiteleg shrimp","Pacific, Southeast",2000,1115.57,10.0501801801802,0.191501012805988,111,10,3,1,5,3,3,4.2,4.5
"605","Philippines","Banana prawn","Pacific, Western Central",2000,0,0,0,740.69,10,4,5,1,3,1,4,4.3
"617","Philippines","Penaeus shrimps nei","Pacific, Western Central",2000,73832.01,18458.0025,0.0642467065539994,4,5,3,5,3,1,1,3,3.9
"630","Portugal","Common edible cockle","Atlantic, Northeast",2000,16532.78,359.408260869565,0.0440143038141259,46,10,10,7,6,9,6,8,6.9
"635","Portugal","Gilthead seabream","Atlantic, Northeast",2000,348177.44,533.196692189893,0.92693349971297,653,10,3,3,6,4,3,4.8,5.3
"640","Portugal","Marine molluscs nei","Atlantic, Northeast",2000,0,0,0,138,5,5,5,6,4,5,5,5.3
"646","Portugal","Sargo breams nei","Atlantic, Northeast",2000,749.07,0.0571503776607919,0.00199420754150526,13107,6,3,3,6,4,3,4.2,4.8
"647","Portugal","Sea mussels nei","Atlantic, Northeast",2000,0,0,0,676,5,10,7,6,7,8,7.2,6.5
"696","Saudi Arabia","Flathead grey mullet","Indian Ocean, Western",2000,146923.36,14692.336,0.882776859758373,10,10,3,5,5,5,5,5.5,5.7
"700","Saudi Arabia","Groupers nei","Indian Ocean, Western",2000,3.91,0.558571428571429,2.34929116898445e-05,7,9,1,5,5,5,4,4.8,5.2
"760","South Africa","Mediterranean mussel","Atlantic, Southeast",2000,1667.63,3.98002386634845,0.0768552234204199,419,1,10,7,7,7,9,6.8,6.2
"761","South Africa","Mullets nei","Atlantic, Southeast",2000,503,4.83653846153846,0.0231815075169379,104,5,5,4,6,5,6,5.2,5.4
"762","South Africa","Pacific cupped oyster","Atlantic, Southeast",2000,443.97,0.882644135188867,0.0204610216546619,503,1,10,7,7,7,9,6.8,6.1
"763","South Africa","Perlemoen abalone","Atlantic, Southeast",2000,5072.05,266.95,0.233753012328599,19,10,5,7,6,7,8,7.2,6.7
"764","South Africa","Red bait","Atlantic, Southeast",2000,11.37,0.000940368869406997,0.000524003460174124,12091,1,5,4,7,5,6,4.7,5
"785","Spain","European eel","Atlantic, Northeast",2000,12090.74,140.59,0.00396029630938074,86,10,3,3,3,6,7,5.3,5.9
"786","Spain","European flat oyster","Atlantic, Northeast",2000,6,0.00105540897097625,1.96528730716933e-06,5685,10,10,7,5,7,10,8.2,7.3
"794","Spain","Gilthead seabream","Atlantic, Northeast",2000,133487.47,0.753830041958674,0.0437235384095244,177079,10,1,1,3,3,1,3.2,4.2
"795","Spain","Gilthead seabream","Mediterranean and Black Sea",2000,1,2.05010455533232e-05,3.27547884528221e-07,48778,10,1,1,3,3,1,3.2,4.2
"804","Spain","Kuruma prawn","Atlantic, Northeast",2000,1053.8,1.66477093206951,0.000345169960715839,633,1,3,5,5,5,7,4.3,4.8
"847","Sweden","Atlantic salmon","Atlantic, Northeast",2000,0,0,0,130488,10,3,3,8,5,5,5.7,6
"849","Sweden","European flat oyster","Atlantic, Northeast",2000,0,0,0,150,10,10,7,8,7,8,6.7,6.3
"887","Thailand","Cupped oysters nei","Pacific, Western Central",2000,1384.18,2.86579710144928,0.311981319617557,483,5,10,7,5,6,10,7.2,6.7
"907","Turkey","Atlantic salmon","Mediterranean and Black Sea",2000,16422,6,0.117990361605755,2737,1,3,3,8,5,5,4.2,4.7
"912","Turkey","Gilthead seabream","Mediterranean and Black Sea",2000,130,13,0.000934036475992461,10,8,3,3,7,5,6,5.3,5.1
"915","Turkey","Mediterranean mussel","Mediterranean and Black Sea",2000,104.4,3.6,0.000750103139181638,29,10,10,7,6,7,8,8,6.6
"916","Turkey","Natantian decapods nei","Mediterranean and Black Sea",2000,1231.38,3.19838961038961,0.00884733719851997,385,5,5,5,6,5,5,5.2,5.1
"930","Ukraine","Mullets nei","Mediterranean and Black Sea",2000,5880,0.5,1,11760,5,10,5,5,5,5,5.8,5.6
"950","United Kingdom","Atlantic cod","Atlantic, Northeast",2000,4.3,4.3,0.000216257863865172,1,10,1,3,3,3,1,3.5,4.6
"952","United Kingdom","Atlantic salmon","Atlantic, Northeast",2000,8.4,2.8,0.000422457222434289,3,10,1,2,3,3,5,4,4.3
"956","United Kingdom","European flat oyster","Atlantic, Northeast",2000,10692,12,0.537727693127074,891,10,10,7,5,7,10,8.2,7.3
"957","United Kingdom","European seabass","Atlantic, Northeast",2000,5897.6,1.9,0.296605204170055,3104,10,3,5,7,5,5,5.8,6
"1005","Viet Nam","Gracilaria seaweeds","Pacific, Western Central",2000,110.43,12.27,0.0238703569205229,9,10,10,10,5,7,10,8.7,7.9
"1020","Argentina","Pacific cupped oyster","Atlantic, Southwest",2001,45,4.5,0.6,10,3,10,5,7,7,10,7,6.4
"1021","Argentina","River Plata mussel","Atlantic, Southwest",2001,30,1.5,0.4,20,7,10,7,5,7,10,7.7,7
"1024","Australia","Atlantic salmon","Pacific, Southwest",2001,51331.85,4.03425416535681,0.268475880275475,12724,1,1,1,3,5,3,2.3,3.7
"1036","Australia","Pacific cupped oyster","Indian Ocean, Eastern",2001,12861.41,2.767084767642,0.0672677562046525,4648,1,10,10,10,7,10,8,7.2
"1039","Australia","Southern bluefin tuna","Indian Ocean, Eastern",2001,105721.16,27.1846644381589,0.55294289013048,3889,10,1,1,1,3,1,2.8,4.1
"1062","Brazil","Cupped oysters nei","Atlantic, Southwest",2001,2596.5,0.148320575802582,0.0294402108039281,17506,7,10,7,7,7,10,8,7.1
"1084","Canada","Atlantic cod","Atlantic, Northwest",2001,0,0,0,5,10,1,3,3,3,3,3.8,4.7
"1153","China","Red drum","Pacific, Northwest",2001,48,0.0272417707150965,0.00035892766769998,1762,1,1,2,5,4,5,3,4.4
"1252","France","European flat oyster","Mediterranean and Black Sea",2001,0,0,0,28,10,10,7,5,7,10,8.2,7.3
"1271","France","Pacific cupped oyster","Mediterranean and Black Sea",2001,0,0,0,187,1,10,10,5,5,1,5.3,6.2
"1299","Greece","European flat oyster","Mediterranean and Black Sea",2001,11661.71,116.6171,0.0779563536509542,100,10,10,7,5,7,10,8.2,7.3
"1300","Greece","European seabass","Mediterranean and Black Sea",2001,80000,43.5492651061513,0.534785060859543,1837,10,3,5,5,5,1,4.8,5
"1318","Iceland","Atlantic wolffish","Atlantic, Northeast",2001,16000,30.4761904761905,0.0684650466039433,525,10,3,5,8,7,5,6.3,6.7
"1324","Iceland","Turbot","Atlantic, Northeast",2001,0,0,0,44,10,3,6,8,7,5,6.5,6.9
"1331","Indonesia","Groupers nei","Pacific, Western Central",2001,60,0.0305966343702193,0.00435029440617394,1961,9,1,5,5,3,4,4.5,5
"1342","Ireland","Atlantic salmon","Atlantic, Northeast",2001,7866.99,28.6072363636364,0.00568176512263799,275,10,3,3,5,5,5,5.2,5.4
"1389","Japan","Flathead grey mullet","Pacific, Northwest",2001,1808.1,129.15,0.220172962599456,14,10,3,5,5,5,5,5.5,5.8
"1509","Mexico","Abalones nei","Pacific, Eastern Central",2001,159.43,3.98575,0.000405276531135904,40,5,10,1,7,5,3,5.2,4.6
"1531","Mexico","Yellowfin tuna","Pacific, Eastern Central",2001,26.4,0.00282958199356913,6.71097059649242e-05,9330,10,1,1,1,3,1,2.8,4.1
"1544","Morocco","Penaeus shrimps nei","Mediterranean and Black Sea",2001,4,0.307692307692308,0.21978021978022,13,5,3,3,5,4,5,4.2,4.9
"1560","Namibia","Gracilaria seaweeds","Atlantic, Southeast",2001,96.43,48.215,0.00310692386828292,2,10,10,7,4,9,10,8.3,6.7
"1562","Namibia","Pacific cupped oyster","Atlantic, Southeast",2001,30778.2,654.855319148936,0.991657411622789,47,1,10,7,4,7,9,6.3,5.5
"1578","Nigeria","Snappers nei","Atlantic, Eastern Central",2001,478852.53,3990.43775,1,120,5,7,3,3,4,3,4.2,4.9
"1580","Norway","Atlantic cod","Atlantic, Northeast",2001,0,0,0,1520,10,1,3,3,3,1,3.5,4.6
"1583","Norway","Blue mussel","Atlantic, Northeast",2001,8,5.22619630899886e-05,7.1305480978688e-06,153075,10,10,9,8,7,10,9,8.1
"1616","Peru","Pacific cupped oyster","Pacific, Southeast",2001,1186.61,2.85930120481928,0.184109838141105,415,1,10,10,5,7,10,7.2,6.5
"1618","Peru","Whiteleg shrimp","Pacific, Southeast",2001,1206.36,13.7086363636364,0.187174172086788,88,10,3,1,5,3,3,4.2,4.5
